Rocket League: Ultimate Edition|Sports|Rocket League|Switch|Psyonix|Mastered|4
Rolling Thunder|Arcade|Rolling Thunder|Arcade|Bandi Namco|No Progress|0
Schedule 1|Simulation|Life Sim|Steam|TVGS|Beaten|0
Sky Kid|Arcade|Sky Kid|Arcade|Bandi Namco|No Progress|0
Sonic & Knuckles|2D Platformer|Sonic|Genesis|Sega|No Progress|0
Sonic 3 & Knuckles|2D Platformer|Sonic|Genesis|Sega|No Progress|0
Sonic 3D Blast|Action-Adventure|Sonic|Genesis|Sega|Completed|0
Sonic Adventure DX|3D Platformer|Sonic|Gamecube|Sega|No Progress|0
Sonic Frontiers|3D Platformer|Sonic|Switch|Sega|In Progress|0
Sonic Generations|2D Platformer|Sonic|3DS|Sega|No Progress|0
Sonic Mania|2D Platformer|Sonic|Epic|Sega|Beaten|0
Sonic Mania|2D Platformer|Sonic|Switch|Sega|No Progress|0
Sonic Mega Collection|Variety|Sonic|Gamecube|Sega|In Progress|0
Sonic Spinball|Pinball|Sonic|Genesis|Sega|No Progress|0
Sonic The Hedgehog|2D Platformer|Sonic|Genesis|Sega|No Progress|0
Sonic The Hedgehog 2|2D Platformer|Sonic|Genesis|Sega|No Progress|0
Sonic The Hedgehog 3|2D Platformer|Sonic|Genesis|Sega|No Progress|0
Sonic X Shadow Generations|3D Platformer|Sonic|Switch|Sega|No Progress|0
Spelunky|2D Platformer|Spelunky|Steam|Mossmouth|No Progress|0
Spelunky 2|2D Platformer|Spelunky|Steam|Mossmouth|No Progress|0
SpongeBob Battle For Bikini Bottem|3D Platformer|Spongebob|Gamecube|Heavy Iron|In Progress|0
SpongeBob Lights, Camera, Pants!|Party|Spongebob|Gamecube|Heavy Iron|Beaten|0
SpongeBob The Movie Video Game|3D Platformer|Spongebob|Gamecube|Heavy Iron|Mastered|11
Stardew Valley|Simulation|Stardew|Steam|ConcernedApe|In Progress|0
Submerged Hidden Depths|Survival|Submerged|Epic|Unknown|No Progress|0
Subnautica|Survival|Subnautica|Steam|Unknown Worlds|No Progress|0
Subnautica 2|Survival|Subnautica|Steam|Unknown Worlds|No Progress|0
Subnautica: Below Zero|Survival|Subnautica|Steam|Unknown Worlds|No Progress|0
Supermarket Simulator|Simulation|Life Sim|Steam|Nokta Games|In Progress|0
Super Mario 3D All-Stars|3D Platformer|Super Mario|Switch|Nintendo|In Progress|0
Super Mario 3D Land|3D Platformer|Super Mario|3DS|Nintendo|In Progress|0
Super Mario 3D World + Bowsers Fury|3D Platformer|Super Mario|Switch|Nintendo|In Progress|0
Super Mario All-Stars|2D Platformer|Super Mario|SNES|Nintendo|No Progress|0
Super Mario Bros.|2D Platformer|Super Mario|NES|Nintendo|Beaten|0
Super Mario Bros. 2|2D Platformer|Super Mario|NES|Nintendo|Beaten|0
Super Mario Bros. 3|2D Platformer|Super Mario|NES|Nintendo|No Progress|0
Super Mario Land|2D Platformer|Super Mario|GB|Nintendo|No Progress|0
Super Mario Land 2|2D Platformer|Super Mario|GB|Nintendo|No Progress|0
Super Mario Bros. Wonder|2D Platformer|Super Mario|Switch|Nintendo|Beaten|0
Super Mario Kart|Racing|Super Mario|SNES|Nintendo|In Progress|0
Super Mario Galaxy|3D Platformer|Super Mario|Wii|Nintendo|Beaten|0
Super Mario Galaxy 2|3D Platformer|Super Mario|Wii|Nintendo|Beaten|0
Super Mario Maker|2D Platformer|Super Mario|Wii U|Nintendo|No Progress|0
Super Mario Maker 2|2D Platformer|Super Mario|Switch|Nintendo|In Progress|0
Super Mario Odyssey|3D Platformer|Super Mario|Switch|Nintendo|Mastered|1
Super Mario RPG|JRPG|Super Mario|Switch|Nintendo|In Progress|0
Super Mario Run|2D Platformer|Super Mario|IOS|Nintendo|No Progress|0
Super Mario Sunshine|3D Platformer|Super Mario|Gamecube|Nintendo|Mastered|9
Super Mario World|2D Platformer|Super Mario|SNES|Nintendo|No Progress|0
Super Metroid|Metroidvania|Metroid|SNES|Nintendo|No Progress|0
Super Monkey Ball 2|Puzzle|Monkey Ball|Gamecube|Sega|Beaten|0
Super Paper Mario|2D Platformer|Super Mario|Wii|Nintendo|In Progress|0
Super Smash Bros. Ultimate|Fighting|Smash Bros|Bandai Namco|In Progress|0
Supraland|Action-Adventure|Supraland|Epic|Unknown|No Progress|0
Terraria|Sandbox|Terraria|Steam|Re-Logic|In Progress|0
Tetris DS|Puzzle|Tetris|DS|Aleksey Pazhitnov|No Progress|0
Tetris Worlds|Puzzle|Tetris|Gamecube|Aleksey Pazhitnov|No Progress|0
The Captain|Survival|Captain|Epic|Unknown|No Progress|0
The Hunter: Call Of The Wild|Shooter|The Hunter|Epic|Unknown|No Progress|0
The Legend Of Zelda|Action-Adventure|Zelda|NES|Nintedno|Beaten|0
The Legend Of Zelda: A Link To The Past|Action-Adventure|Zelda|SNES|Nintedno|Completed|0
The Legend Of Zelda: Adventure of Link|Action-Adventure|Zelda|NES|Nintendo|No Progress|0
The Legend Of Zelda: Breath Of The Wild|Action-Adventure|Zelda|Switch|Nintedno|Beaten|0
The Legend Of Zelda: Collectors Edition|Action-Adventure|Zelda|Gamecube|Nintendo|No Progress|0
The Legend Of Zelda: Links Awakening|Action-Adventure|Zelda|GB|Nintendo|No Progress|0
The Legend Of Zelda: Links Awakening DX|Action-Adventure|Zelda|GB|Nintendo|No Progress|0
The Legend Of Zelda: Majoras Mask|Action-Adventure|Zelda|N64|Nintendo|No Progress|0
The Legend Of Zelda: Ocarina Of Time|Action-Adventure|Zelda|N64|Nintendo|Mastered|10
The Legend Of Zelda: Oracle Of Ages|Action-Adventure|Zelda|GBA|Nintendo|No Progress|0
The Legend Of Zelda: Oracle Of Seasons|Action-Adventure|Zelda|GBA|Nintendo|No Progress|0
The Legend Of Zelda: Skyward Sword|Action-Adventure|Zelda|Wii|Nintendo|No Progress|0
The Legend Of Zelda: Tears Of The Kingdom|Action-Adventure|Zelda|Switch|Nintendo|No Progress|0
The Legend Of Zelda: The Minish Cap|Action-Adventure|Zelda|GBA|Nintendo|No Progress|0
The Legend Of Zelda: The Wind Waker|Action-Adventure|Zelda|Gamecube|Nintendo|In Progress|0
The Legend Of Zelda: Twilight Princess|Action-Adventure|Zelda|Gamecube|Nintendo|No Progress|0
The Legend Of Zelda: Twilight Princess|Action-Adventure|Zelda|Wii|Nintendo|No Progress|0
The Ooze|Action-Adventure|Ooze|Genesis|Sega|No Progress|0
TUNIC|Action-Adventure|TUNIC|Steam|TUNIC Team|No Progress|0
Wii Sports|Sports|Mii Games|Wii|Nintendo|In Progress|0
Wii Sports Club|Sports|Mii Games|Wii U|Nintendo|No Progress|0
Xevious|Arcade|Xevious|Arcade|Bandi Namco|No Progress|0

